Rank,University,Town
890,Albany State University,Albany
1023,Saint Martin's University,Lacey
1242,Centenary University,Hackettstown
1105,Northwestern College,Orange City
1008,Morehead State University,Morehead
1142,Lourdes University,Sylvania
1045,Naropa University,Boulder
1565,Central Penn College,Summerdale
1249,Franklin Pierce University,Rindge
1108,Dalton State College,Dalton
116,Wayne State University,Detroit
537,University of Puget Sound,Tacoma
1323,Rivier University,Nashua
535,Broward College,Fort Lauderdale
