Rank,University,Town
635,Bennington College,Bennington
364,Gonzaga University,Spokane
338,Hamilton College,Clinton
468,Samford University,Birmingham
883,Robert Morris University,Moon Township
1002,Fitchburg State University,Fitchburg
1585,University of Holy Cross,New Orleans
541,University of Detroit Mercy,Detroit
1379,University of Silicon Valley,San Jose
530,Wabash College,Crawfordsville
1689,Pennsylvania College of Health Sciences,Lancaster
804,DeSales University,Center Valley
963,Winston-Salem State University,Winston-Salem
139,Marquette University,Milwaukee
1197,Huntingdon College,Montgomery
82,University of Delaware,Newark
691,Winona State University,Winona
1305,Bluefield University,Bluefield
1346,Defiance College,Defiance
222,University of San Diego,San Diego
1014,University of South Carolina-Upstate,Spartanburg
473,Whitman College,Walla Walla
157,University of Idaho,Moscow
146,Southern New Hampshire University,Manchester
1571,Bay State College,Boston
332,Lamar University,Beaumont
1009,St John's College,Annapolis
1199,Massachusetts Maritime Academy,Buzzards Bay
1133,Mary Baldwin University,Staunton
1153,University of South Carolina-Beaufort,Bluffton
1505,The University of Olivet,Olivet
1718,Methodist College,Peoria
1110,University of Montevallo,Montevallo
969,Husson University,Bangor
1013,Metropolitan State University,Saint Paul
1368,Arizona Christian University,Glendale
690,Wofford College,Spartanburg
-1,Antioch University Seattle,Seattle
220,The Catholic University of America,Washington
1309,Harris-Stowe State University,St. Louis
-1,Antioch University Santa Barbara,Santa Barbara
1010,Daemen University,Amherst
817,Oregon Institute of Technology,Klamath Falls
211,Vassar College,Poughkeepsie
387,California State University- Stanislaus,Turlock
17,Johns Hopkins University,Baltimore
1438,Saint Elizabeth University,Morristown
1343,The Institute of World Politics,Washington
783,Meredith College,Raleigh
